id,blacklisted_at,token_id
1,2026-02-15 10:17:36.995932+00,3
2,2026-02-15 15:07:22.635516+00,10
3,2026-02-15 15:07:56.871829+00,11
4,2026-02-15 15:21:10.003401+00,12
5,2026-02-15 16:39:16.823718+00,15
6,2026-02-15 18:15:50.164117+00,19
7,2026-02-15 18:28:53.623579+00,20
8,2026-02-19 08:40:28.697174+00,21
9,2026-02-19 08:41:19.333483+00,22
10,2026-02-21 15:42:40.171141+00,24
11,2026-02-21 17:19:44.110076+00,26
12,2026-02-21 17:21:37.907329+00,27
13,2026-02-21 17:35:08.309098+00,28
14,2026-02-21 17:50:45.263141+00,30
15,2026-02-21 19:14:17.40143+00,31
16,2026-02-21 19:14:55.145424+00,32
17,2026-02-21 19:15:33.313078+00,33
18,2026-02-22 07:30:42.997319+00,34
19,2026-02-22 07:36:03.503695+00,35
20,2026-02-22 07:38:22.654817+00,36
21,2026-02-22 12:28:29.462403+00,38
22,2026-02-22 12:32:05.894161+00,39
23,2026-02-22 12:47:27.315604+00,40
24,2026-02-22 13:09:52.25917+00,41
25,2026-02-22 13:54:51.436805+00,42
26,2026-02-24 07:32:38.848545+00,45